Longitude;Latitude
13,40,37.2;4,11,21.01
13,40,37.2;4,11,21.01
12,52,21.1;2,6,10.8
12,52,21.1;2,6,10.8
12,52,21.1;2,6,10.8
11,53,51;4,46,36
11,53,51;4,46,36
11,53,51;4,46,36
11,53,51;4,46,36
11,53,51;4,46,36
11,53,51;4,46,36
11,54,1.08;4,47,25.01
11,54,1.08;4,47,25.01
11,54,1.08;4,47,25.01
11,54,1.08;4,47,25.01
11,54,1.08;4,47,25.01
11,54,1.08;4,47,25.01
17,8,43.8;"1,41,0.82""N"
17,8,43.8;"1,41,0.82""N"
17,8,43.8;"1,41,0.82""N"
15,16,59.2;4,12,57.4
15,16,59.2;4,12,57.4
15,16,59.2;4,12,57.4
15,16,59.2;4,12,57.4
15,16,59.2;4,12,57.4
15,16,59.2;4,12,57.4
15,39,31;3,1,33.1
15,39,31;3,1,33.1
15,39,31;3,1,33.1
14,57,10.8;4,22,5.81
14,57,10.8;4,22,5.81
14,57,10.8;4,22,5.81
12,4,36.7;4,31,53.6
12,4,36.7;4,31,53.6
12,4,36.7;4,31,53.6
11,57,24;4,39,45
15,16,37.21;4,16,2.97
15,16,37.21;4,16,2.97
15,16,37.21;4,16,2.97
15,13,52.14;4,15,11.05
15,13,52.14;4,15,11.05
15,13,52.14;4,15,11.05
15,13,52.14;4,15,11.05
15,13,52.14;4,15,11.05
15,13,52.14;4,15,11.05
15,13,48;4,14,27
15,13,48;4,14,27
15,13,48;4,14,27
13,0,0;4,0,0
13,0,0;4,0,0
13,0,0;4,0,0
15,17,12.91;4,15,18.79
15,17,12.91;4,15,18.79
15,17,12.91;4,15,18.79
15,17,12.91;4,15,18.79
15,17,12.91;4,15,18.79
15,17,12.91;4,15,18.79
15,0,32;"1,36,20.1""N"
15,0,32;"1,36,20.1""N"
15,16,26.62;4,12,56.52
15,16,26.62;4,12,56.52
15,16,26.62;4,12,56.52
15,16,26.62;4,12,56.52
15,16,26.62;4,12,56.52
15,16,26.62;4,12,56.52
13,20,48.9;3,45,23.2
13,20,48.9;3,45,23.2
13,20,48.9;3,45,23.2
14,21,0;4,16,18.41
14,21,0;4,16,18.41
14,21,0;4,16,18.41
15,15,40.18;4,16,45.8
15,15,40.18;4,16,45.8
15,15,40.18;4,16,45.8
15,15,40.18;4,16,45.8
15,15,40.18;4,16,45.8
15,15,40.18;4,16,45.8
14,28,34.46;4,16,51.38
14,28,34.46;4,16,51.38
14,28,34.46;4,16,51.38
15,29,41.8;"0,16,25.8""N"
15,29,41.8;"0,16,25.8""N"
15,29,41.8;"0,16,25.8""N"
15,56,53.5;"1,32,19.6""N"
15,56,53.5;"1,32,19.6""N"
15,56,53.5;"1,32,19.6""N"
11,51,51;4,42,57
11,51,51;4,42,57
11,51,51;4,42,57
11,55,25.68;4,46,25.93
11,55,25.68;4,46,25.93
11,55,25.68;4,46,25.93
11,54,26;4,44,40
11,54,26;4,44,40
11,54,26;4,44,40
11,54,26;4,44,40
11,54,26;4,44,40
11,54,26;4,44,40
11,55,27.84;4,43,44
11,55,27.84;4,43,44
11,55,27.84;4,43,44
15,19,37.31;4,7,56.75
15,19,37.31;4,7,56.75
12,54,48.1;4,7,28.5
16,47,47.9;1,13,28.4
16,47,47.9;1,13,28.4
16,47,47.9;1,13,28.4
12,43,7.7;2,56,44.5
12,43,7.7;2,56,44.5
12,43,7.7;2,56,44.5
17,10,53.76;"3,22,32.48""N"
17,10,53.76;"3,22,32.48""N"
17,10,53.76;"3,22,32.48""N"
13,34,41.67;2,50,18.53
13,34,41.67;2,50,18.53
13,34,41.67;2,50,18.53
15,16,22.26;4,13,49.26
15,16,22.26;4,13,49.26
15,16,22.26;4,13,49.26
15,16,22.26;4,13,49.26
15,16,22.26;4,13,49.26
15,16,22.26;4,13,49.26
15,16,1.8;4,14,7.5
15,16,1.8;4,14,7.5
15,16,1.8;4,14,7.5
15,16,1.8;4,14,7.5
15,16,1.8;4,14,7.5
15,16,1.8;4,14,7.5
13,46,35.41;3,52,45.25
13,46,35.41;3,52,45.25
13,46,35.41;3,52,45.25
15,16,28.78;4,15,2.66
15,16,28.78;4,15,2.66
15,16,28.78;4,15,2.66
15,16,28.78;4,15,2.66
15,16,28.78;4,15,2.66
15,16,28.78;4,15,2.66
15,16,40.4;4,15,15.4
15,16,40.4;4,15,15.4
15,16,40.4;4,15,15.4
15,13,3.25;4,15,48.02
15,13,3.25;4,15,48.02
15,13,3.25;4,15,48.02
13,55,12.9;3,59,46.9
13,55,12.9;3,59,46.9
13,55,12.9;3,59,46.9
11,54,59.8;4,48,37.2
11,54,59.8;4,48,37.2
11,54,59.8;4,48,37.2
11,54,59.8;4,48,37.2
11,54,59.8;4,48,37.2
11,54,59.8;4,48,37.2
14,9,55.08;4,22,3
14,9,55.08;4,22,3
14,9,55.08;4,22,3
15,17,31.48;4,15,27.68
15,17,31.48;4,15,27.68
15,17,31.48;4,15,27.68
15,17,31.48;4,15,27.68
15,17,31.48;4,15,27.68
15,17,31.48;4,15,27.68
15,17,50.32;4,15,50.8
15,17,50.32;4,15,50.8
15,17,50.32;4,15,50.8
15,17,50.32;4,15,50.8
15,17,50.32;4,15,50.8
15,17,45.2;4,15,23.08
15,17,45.2;4,15,23.08
15,17,45.2;4,15,23.08
15,17,45.2;4,15,23.08
15,17,45.2;4,15,23.08
15,17,45.2;4,15,23.08
15,53,59.4;1,40,41.2
15,53,59.4;1,40,41.2
15,53,59.4;1,40,41.2
15,15,18.61;4,18,5.85
15,15,18.61;4,18,5.85
15,15,18.61;4,18,5.85
11,51,7.3;4,48,32.3
11,51,7.3;4,48,32.3
11,51,7.3;4,48,32.3
11,51,25;4,48,46
11,51,25;4,48,46
11,51,25;4,48,46
15,29,34.5;2,23,41.6
15,29,34.5;2,23,41.6
15,29,34.5;2,23,41.6
16,9,49.5;2,35,44
16,9,49.5;2,35,44
11,52,17.8;4,46,48.61
11,52,17.8;4,46,48.61
11,52,17.8;4,46,48.61
11,52,17.8;4,46,48.61
11,52,17.8;4,46,48.61
11,52,17.8;4,46,48.61
12,29,11.04;"12,29,11.04""N"
12,29,11.04;"12,29,11.04""N"
12,29,11.04;"12,29,11.04""N"
12,31,25.32;4,28,53.51
12,31,25.32;4,28,53.51
12,31,25.32;4,28,53.51
16,36,50.04;"1,35,28.39""N"
16,36,50.04;"1,35,28.39""N"
16,36,50.04;"1,35,28.39""N"
15,17,28.4;4,13,10.4
15,17,28.4;4,13,10.4
15,17,28.4;4,13,10.4
15,17,28.4;4,13,10.4
15,17,28.4;4,13,10.4
15,17,28.4;4,13,10.4
15,17,10.46;4,14,23.35
15,17,10.46;4,14,23.35
15,17,10.46;4,14,23.35
15,17,10.46;4,14,23.35
15,17,10.46;4,14,23.35
15,17,10.46;4,14,23.35
16,8,36.6;3,12,25.5
16,8,36.6;3,12,25.5
16,8,36.6;3,12,25.5
15,17,29.69;4,11,59.46
15,17,29.69;4,11,59.46
15,17,29.69;4,11,59.46
14,53,14.28;"2,1,39.22""N"
14,53,14.28;"2,1,39.22""N"
14,53,14.28;"2,1,39.22""N"
15,43,7.2;2,30,51.8
15,43,7.2;2,30,51.8
15,43,7.2;2,30,51.8
15,24,50.5;0,33,43.54
15,24,50.5;0,33,43.54
15,24,50.5;0,33,43.54
16,11,3.6;"1,25,36.1""N"
16,11,3.6;"1,25,36.1""N"
16,11,3.6;"1,25,36.1""N"
11,30,40.2;4,9,47.5
11,30,40.2;4,9,47.5
11,30,40.2;4,9,47.5
11,54,47.6;4,50,52
11,54,47.6;4,50,52
11,54,47.6;4,50,52
11,54,47.6;4,50,52
11,54,47.6;4,50,52
11,54,47.6;4,50,52
11,54,33;4,50,6
11,54,33;4,50,6
11,54,33;4,50,6
11,54,33;4,50,6
11,54,33;4,50,6
11,54,33;4,50,6
11,54,7.7;4,51,14.83
11,54,7.7;4,51,14.83
11,54,7.7;4,51,14.83
11,54,7.7;4,51,14.83
11,54,7.7;4,51,14.83
11,54,7.7;4,51,14.83
18,2,51.36;"1,49,32.41""N"
18,2,51.36;"1,49,32.41""N"
18,2,51.36;"1,49,32.41""N"
14,40,11.5;4,40,13
14,40,11.5;4,40,13
14,40,11.5;4,40,13
13,16,55.59;4,11,16
13,16,55.59;4,11,16
13,16,55.59;4,11,16
13,16,55.59;4,11,16
13,16,55.59;4,11,16
13,16,55.59;4,11,16
13,17,45.87;4,13,31.13
13,16,58.44;4,10,24.49
13,16,58.44;4,10,24.49
13,16,58.44;4,10,24.49
13,16,58.44;4,10,24.49
13,16,58.44;4,10,24.49
13,16,58.44;4,10,24.49
13,17,44.16;4,11,52.4
13,17,44.16;4,11,52.4
13,17,44.16;4,11,52.4
13,17,44.16;4,11,52.4
13,17,44.16;4,11,52.4
13,17,44.16;4,11,52.4
15,15,29.16;4,17,32.21
15,15,29.16;4,17,32.21
15,15,29.16;4,17,32.21
15,15,29.16;4,17,32.21
15,15,29.16;4,17,32.21
15,15,29.16;4,17,32.21
14,27,7.2;2,21,1.58
14,27,7.2;2,21,1.58
14,27,7.2;2,21,1.58
15,19,47.1;2,21,11.4
15,19,47.1;2,21,11.4
15,19,47.1;2,21,11.4
15,53,8;2,4,16.2
15,53,8;2,4,16.2
15,53,8;2,4,16.2
11,53,16.82;2,54,51.4
11,53,16.82;2,54,51.4
11,53,16.82;2,54,51.4
15,43,49.3;0,9,43.4
15,43,49.3;0,9,43.4
11,17,8;3,57,28.4
11,17,8;3,57,28.4
11,17,8;3,57,28.4
12,2,10.61;4,58,52.43
12,2,10.61;4,58,52.43
12,2,10.61;4,58,52.43
15,49,5.6;0,50,28.6
15,49,5.6;0,50,28.6
15,49,5.6;0,50,28.6
15,11,49.97;1,4,12.51
15,11,49.97;1,4,12.51
11,52,43.2;4,47,54.2
11,52,43.2;4,47,54.2
11,52,43.2;4,47,54.2
11,52,43.2;4,47,54.2
11,52,43.2;4,47,54.2
11,52,43.2;4,47,54.2
15,30,47.5;3,34,36.7
15,30,47.5;3,34,36.7
15,30,47.5;3,34,36.7
15,13,53.76;0,47,57.2
15,13,53.76;0,47,57.2
15,13,53.76;0,47,57.2
15,4,44.7;1,27,58
15,4,44.7;1,27,58
15,4,44.7;1,27,58
15,53,37.9;1,17,1
15,53,37.9;1,17,1
15,53,37.9;1,17,1
15,16,17.12;4,16,27.89
15,16,17.12;4,16,27.89
15,16,17.12;4,16,27.89
15,48,32.2;2,20,21.2
15,48,32.2;2,20,21.2
15,48,32.2;2,20,21.2
15,14,47.83;4,14,3.26
15,14,47.83;4,14,3.26
15,14,47.83;4,14,3.26
15,14,47.83;4,14,3.26
15,14,47.83;4,14,3.26
15,14,47.83;4,14,3.26
15,13,6.64;4,18,15.91
15,13,6.64;4,18,15.91
15,13,6.64;4,18,15.91
15,13,6.64;4,18,15.91
15,13,6.64;4,18,15.91
15,13,6.64;4,18,15.91
15,12,14.26;4,18,10.22
15,12,14.26;4,18,10.22
15,12,14.26;4,18,10.22
15,12,14.26;4,18,10.22
15,12,14.26;4,18,10.22
15,12,14.26;4,18,10.22
16,0,33.7;1,35,36.5
16,0,33.7;1,35,36.5
16,0,33.7;1,35,36.5
15,16,46.09;4,16,34.57
15,16,46.09;4,16,34.57
15,16,46.09;4,16,34.57
15,16,46.09;4,16,34.57
15,16,46.09;4,16,34.57
15,16,46.09;4,16,34.57
15,49,48.6;1,1,3.7
15,49,48.6;1,1,3.7
15,49,48.6;1,1,3.7
15,16,58.01;4,14,45.46
15,16,58.01;4,14,45.46
15,16,58.01;4,14,45.46
15,16,58.01;4,14,45.46
15,16,58.01;4,14,45.46
15,16,58.01;4,14,45.46
16,3,0.2;"1,36,16""N"
16,3,0.2;"1,36,16""N"
16,3,4;"1,37,14.17""N"
16,3,4;"1,37,14.17""N"
16,3,4;"1,37,14.17""N"
15,53,57.8;0,28,38.2
15,53,57.8;0,28,38.2
15,53,57.8;0,28,38.2
15,53,57.8;0,28,38.2
15,53,57.8;0,28,38.2
15,53,57.8;0,28,38.2
15,55,27.42;0,30,48.64
15,55,27.42;0,30,48.64
15,55,27.42;0,30,48.64
15,51,33;0,29,4.4
15,51,33;0,29,4.4
15,51,33;0,29,4.4
15,58,21.83;1,9,26.67
15,58,21.83;1,9,26.67
15,58,21.83;1,9,26.67
15,58,21.83;1,9,26.67
15,58,21.83;1,9,26.67
15,58,21.83;1,9,26.67
11,50,40.06;4,48,9.4
11,50,40.06;4,48,9.4
11,50,40.06;4,48,9.4
11,50,40.06;4,48,9.4
11,50,40.06;4,48,9.4
11,50,40.06;4,48,9.4
15,15,17.57;4,11,30.95
15,15,17.57;4,11,30.95
15,15,17.57;4,11,30.95
15,15,17.57;4,11,30.95
15,15,17.57;4,11,30.95
15,15,17.57;4,11,30.95
11,55,10.2;4,49,22.4
11,55,10.2;4,49,22.4
11,55,10.2;4,49,22.4
11,55,10.2;4,49,22.4
11,55,10.2;4,49,22.4
11,55,10.2;4,49,22.4
15,17,46.18;4,12,21.35
15,17,46.18;4,12,21.35
15,17,46.18;4,12,21.35
15,17,46.18;4,12,21.35
15,17,46.18;4,12,21.35
15,17,46.18;4,12,21.35
12,38,45.1;3,22,52.5
12,38,45.1;3,22,52.5
12,38,45.1;3,22,52.5
12,40,54.6;2,45,29.2
12,40,54.6;2,45,29.2
12,40,54.6;2,45,29.2
15,22,35.7;3,59,27.4
15,22,35.7;3,59,27.4
15,22,35.7;3,59,27.4
11,51,25.34;4,47,28.82
11,51,25.34;4,47,28.82
11,51,25.34;4,47,28.82
11,51,25.34;4,47,28.82
11,51,25.34;4,47,28.82
11,51,25.34;4,47,28.82
15,16,2.24;4,15,27.94
15,16,2.24;4,15,27.94
15,16,2.24;4,15,27.94
15,16,2.24;4,15,27.94
15,16,2.24;4,15,27.94
15,16,2.24;4,15,27.94
11,51,13.39;4,47,57.34
11,51,13.39;4,47,57.34
11,51,13.39;4,47,57.34
11,51,0.83;4,48,18.32
11,51,0.83;4,48,18.32
11,51,0.83;4,48,18.32
11,50,14.39;4,47,34.66
11,50,14.39;4,47,34.66
11,50,14.39;4,47,34.66
16,19,4.2;"1,24,43.6""N"
16,19,4.2;"1,24,43.6""N"
16,19,4.2;"1,24,43.6""N"
11,50,10.9;4,47,44.2
11,50,10.9;4,47,44.2
11,50,10.9;4,47,44.2
11,50,10.9;4,47,44.2
11,50,10.9;4,47,44.2
11,50,10.9;4,47,44.2
11,49,29.4;4,47,14
11,49,29.4;4,47,14
11,49,29.4;4,47,14
15,17,3.26;4,15,57.64
15,17,3.26;4,15,57.64
15,17,3.26;4,15,57.64
15,17,3.26;4,15,57.64
15,17,3.26;4,15,57.64
15,17,3.26;4,15,57.64
15,17,13.41;4,15,30.18
15,17,13.41;4,15,30.18
15,17,13.41;4,15,30.18
15,17,13.41;4,15,30.18
15,17,13.41;4,15,30.18
15,17,13.41;4,15,30.18
11,53,39.7;4,48,35.5
11,53,39.7;4,48,35.5
11,53,39.7;4,48,35.5
15,16,5.36;4,17,1.89
15,16,5.36;4,17,1.89
15,16,5.36;4,17,1.89
15,16,5.36;4,17,1.89
15,16,5.36;4,17,1.89
15,16,5.36;4,17,1.89
15,16,45.5;4,13,35.4
15,16,45.5;4,13,35.4
15,16,45.5;4,13,35.4
11,51,59.6;4,47,9.7
11,51,59.6;4,47,9.7
11,51,59.6;4,47,9.7
11,51,59.6;4,47,9.7
11,51,59.6;4,47,9.7
11,51,59.6;4,47,9.7
11,53,24;4,48,3
11,53,24;4,48,3
11,53,24;4,48,3
11,53,24;4,48,3
11,53,24;4,48,3
11,53,24;4,48,3
14,32,0.14;0,31,43.7
14,32,0.14;0,31,43.7
14,32,0.14;0,31,43.7
11,52,58.8;4,46,4.69
11,52,58.8;4,46,4.69
11,52,58.8;4,46,4.69
11,52,58.8;4,46,4.69
11,52,58.8;4,46,4.69
11,52,58.8;4,46,4.69
11,51,55;4,47,31
11,51,55;4,47,31
11,51,55;4,47,31
11,51,55;4,47,31
11,51,55;4,47,31
11,51,55;4,47,31
15,12,13.9;4,18,32.8
15,12,13.9;4,18,32.8
15,12,13.9;4,18,32.8
15,15,33.2;4,12,22.9
15,15,33.2;4,12,22.9
15,15,33.2;4,12,22.9
15,15,33.2;4,12,22.9
15,15,33.2;4,12,22.9
15,15,33.2;4,12,22.9
14,33,35.64;"1,39,46.01""N"
14,33,35.64;"1,39,46.01""N"
14,33,35.64;"1,39,46.01""N"
11,51,37;4,44,19
11,51,37;4,44,19
11,51,37;4,44,19
11,51,37;4,44,19
11,51,37;4,44,19
11,51,37;4,44,19
13,20,43.1;3,41,15.1
13,20,43.1;3,41,15.1
13,20,43.1;3,41,15.1
11,50,49.1;4,47,56.1
11,50,49.1;4,47,56.1
11,50,49.1;4,47,56.1
11,50,49.1;4,47,56.1
11,50,49.1;4,47,56.1
11,50,49.1;4,47,56.1
11,51,32;4,45,44
11,51,32;4,45,44
11,51,32;4,45,44
11,51,32;4,45,44
11,51,32;4,45,44
11,51,32;4,45,44
15,15,48.24;4,9,28.91
15,15,48.24;4,9,28.91
15,15,48.24;4,9,28.91
15,15,48.24;4,9,28.91
15,15,48.24;4,9,28.91
15,15,48.24;4,9,28.91
14,7,57.36;"2,3,33.7""N"
14,7,57.36;"2,3,33.7""N"
14,7,57.36;"2,3,33.7""N"
14,15,52.9;4,14,37.8
14,15,52.9;4,14,37.8
14,15,52.9;4,14,37.8
11,51,56.2;4,46,22.1
11,51,56.2;4,46,22.1
11,51,56.2;4,46,22.1
15,16,58.8;"1,56,19.1""N"
15,16,58.8;"1,56,19.1""N"
15,16,58.8;"1,56,19.1""N"
11,51,50;4,44,54.4
11,51,50;4,44,54.4
11,51,50;4,44,54.4
11,51,50;4,44,54.4
11,51,50;4,44,54.4
11,51,50;4,44,54.4
11,52,38.6;4,44,21.88
11,52,38.6;4,44,21.88
11,52,38.6;4,44,21.88
11,52,38.6;4,44,21.88
11,52,38.6;4,44,21.88
11,52,38.6;4,44,21.88
11,52,20;4,49,33
11,52,20;4,49,33
11,52,20;4,49,33
11,52,20;4,49,33
11,52,20;4,49,33
11,52,20;4,49,33
12,5,52.33;4,55,23.92
12,5,52.33;4,55,23.92
12,5,52.33;4,55,23.92
15,15,2.9;4,16,49.8
15,15,2.9;4,16,49.8
15,15,2.9;4,16,49.8
15,15,2.9;4,16,49.8
15,15,2.9;4,16,49.8
15,15,2.9;4,16,49.8
11,53,17.9;4,47,26.4
11,53,17.9;4,47,26.4
11,53,17.9;4,47,26.4
11,53,17.9;4,47,26.4
11,53,17.9;4,47,26.4
11,53,17.9;4,47,26.4
16,10,15.75;1,15,10.69
16,10,15.75;1,15,10.69
16,10,15.75;1,15,10.69
12,9,29.79;4,32,38.14
12,9,29.79;4,32,38.14
12,9,29.79;4,32,38.14
16,18,24.8;1,23,21.8
16,18,24.8;1,23,21.8
16,18,24.8;1,23,21.8
13,48,56.52;3,12,1.3
13,48,56.52;3,12,1.3
13,48,56.52;3,12,1.3
15,14,39.2;4,17,8.2
15,14,39.2;4,17,8.2
15,14,39.2;4,17,8.2
15,14,39.2;4,17,8.2
15,14,39.2;4,17,8.2
15,14,39.2;4,17,8.2
13,52,13.35;3,46,17.41
13,52,13.35;3,46,17.41
13,52,13.35;3,46,17.41
11,53,59;4,49,22.8
11,53,59;4,49,22.8
11,53,59;4,49,22.8
11,53,59;4,49,22.8
11,53,59;4,49,22.8
11,53,59;4,49,22.8
14,35,2.76;1,10,57.11
14,35,2.76;1,10,57.11
14,35,2.76;1,10,57.11
11,51,0.58;4,47,33.9
11,51,0.58;4,47,33.9
11,51,0.58;4,47,33.9
11,51,0.58;4,47,33.9
11,51,0.58;4,47,33.9
11,51,0.58;4,47,33.9
15,17,42.86;4,13,37.15
15,17,42.86;4,13,37.15
15,17,42.86;4,13,37.15
15,17,42.86;4,13,37.15
15,17,42.86;4,13,37.15
15,17,42.86;4,13,37.15
13,32,49.56;3,5,42.61
13,32,49.56;3,5,42.61
12,12,2.3;3,39,15.7
12,12,2.3;3,39,15.7
11,54,31;4,47,43
11,54,31;4,47,43
11,54,31;4,47,43
11,54,31;4,47,43
11,54,31;4,47,43
11,54,31;4,47,43
13,55,27.8;4,10,37
12,54,2.52;3,8,28.9
12,54,2.52;3,8,28.9
12,28,23.7;3,43,37.2
12,28,23.7;3,43,37.2
12,28,23.7;3,43,37.2
15,1,18.8;2,26,52.8
15,1,18.8;2,26,52.8
15,1,18.8;2,26,52.8
15,18,5.58;4,14,45.17
15,18,5.58;4,14,45.17
15,18,5.58;4,14,45.17
15,18,5.58;4,14,45.17
15,18,5.58;4,14,45.17
15,18,5.58;4,14,45.17
15,14,23.69;4,17,23.78
15,14,23.69;4,17,23.78
15,14,23.69;4,17,23.78
15,14,23.69;4,17,23.78
15,14,23.69;4,17,23.78
15,14,23.69;4,17,23.78
13,49,33.7;2,51,25.8
13,49,33.7;2,51,25.8
13,49,33.7;2,51,25.8
15,15,17.23;4,16,14.38
15,15,17.23;4,16,14.38
15,15,17.23;4,16,14.38
15,16,43.5;4,14,13.4
15,16,43.5;4,14,13.4
15,16,43.5;4,14,13.4
15,16,43.5;4,14,13.4
15,16,43.5;4,14,13.4
15,16,43.5;4,14,13.4
15,15,58.8;"0,4,9.09""N"
15,15,58.8;"0,4,9.09""N"
15,15,58.8;"0,4,9.09""N"
11,51,43.88;4,47,23.39
11,51,43.88;4,47,23.39
11,51,43.88;4,47,23.39
11,51,43.88;4,47,23.39
11,51,43.88;4,47,23.39
11,51,43.88;4,47,23.39
15,16,44;4,13,12.8
15,16,44;4,13,12.8
15,16,44;4,13,12.8
15,16,44;4,13,12.8
15,16,44;4,13,12.8
14,35,6.72;4,15,34.81
14,35,6.72;4,15,34.81
14,35,6.72;4,15,34.81
15,17,0.5;4,11,15.3
15,17,0.5;4,11,15.3
15,17,0.5;4,11,15.3
15,17,0.5;4,11,15.3
15,17,0.5;4,11,15.3
12,10,52;4,39,37
12,10,52;4,39,37
12,10,52;4,39,37
15,30,0.8;"1,34,6.4""N"
15,30,0.8;"1,34,6.4""N"
15,30,0.8;"1,34,6.4""N"
